prodcode	dmdcode	gemscriptcode	productname	drugsubstance	strength	formulation	route	bnfcode	bnfchapter	Group
64907	9793111000001104	70975020	Bendroflumethiazide 5mg tablets (Almus Pharmaceuticals Ltd)	Bendroflumethiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
64973	29771711000001104	52168021	Atenolol 50mg tablets (Sigma Pharmaceuticals Plc)	Atenolol	50mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
65027	28365611000001108	44190021	Bisoprolol 5mg / Aspirin 100mg capsules	Aspirin/Bisoprolol fumarate	100mg + 5mg	Capsule	Oral	02040000/02090000	Beta-adrenoceptor Blocking Drugs/Antiplatelet Drugs	B-blocker
65159	23592211000001100	20149021	Doxazosin 4mg tablets (Waymade Healthcare Plc)	Doxazosin mesilate	4mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
65227	8668211000001107	20525020	Metoprolol 12.5mg/5ml oral solution	Metoprolol tartrate	2.5mg/1ml	Oral solution	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
65435	21870211000001104	47095020	Propranolol 10mg tablets (Waymade Healthcare Plc)	Propranolol hydrochloride	10mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
65438	9703211000001108	71696020	Acebutolol 100mg capsules (A A H Pharmaceuticals Ltd)	Acebutolol hydrochloride	100mg	Capsule	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
65442	3156311000001109	63816020	Terazosin 5mg tablets (Mylan)	Terazosin hydrochloride	5mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
65582	13354711000001108	34664020	Spironolactone 3mg/5ml oral solution	Spironolactone	600microgram/1ml	Oral solution	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
65583	12087311000001102	30810020	Furosemide 3mg/5ml oral solution	Furosemide	600microgram/1ml	Oral solution	Oral	02020200	Loop Diuretics	Diuretic
65805	21800411000001104	47115020	Bisoprolol 1.25mg tablets (Waymade Healthcare Plc)	Bisoprolol fumarate	1.25mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
65821	14159111000001100	35421020	Bisoprolol 7.5mg/5ml oral suspension	Bisoprolol fumarate	1.5mg/1ml	Oral suspension	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
65822	13325311000001108	34599020	Spironolactone 12.5mg/5ml oral suspension	Spironolactone	2.5mg/1ml	Oral suspension	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
65853	30122411000001104	53278021	Doxazosin 1mg tablets (Mawdsley-Brooks & Company Ltd)	Doxazosin mesilate	1mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
65986	795211000001104	00920020	Propranolol 10mg tablets (Alliance Healthcare (Distribution) Ltd)	Propranolol hydrochloride	10mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
66017	9800811000001104	71522020	Furosemide 20mg tablets (Almus Pharmaceuticals Ltd)	Furosemide	20mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
66065	225411000001101	65455020	Doxazosin 2mg tablets (Kent Pharmaceuticals Ltd)	Doxazosin mesilate	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
66149	12087511000001108	30814020	Furosemide 4.5mg/5ml oral solution	Furosemide	900microgram/1ml	Oral solution	Oral	02020200	Loop Diuretics	Diuretic
66464	12300711000001104	31704020	Nadolol 40mg/5ml oral solution	Nadolol	8mg/1ml	Oral solution	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
66517	8307011000001105	19158020	Bendroflumethiazide 1.25mg/5ml oral suspension	Bendroflumethiazide	250microgram/1ml	Oral suspension	Oral	02020100/09050102	Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria	Diuretic
66548	22612611000001100	16660021	Atenolol 50mg tablets (DE Pharmaceuticals)	Atenolol	50mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
66555	14782711000001104	00922020	Propranolol 10mg tablets (Boston Healthcare Ltd)	Propranolol hydrochloride	10mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
66559	5393311000001106	01220020	Nebilet 5mg tablets (Waymade Healthcare Plc)	Nebivolol hydrochloride	5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
66598	27475411000001100	31319021	Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Lupin Healthcare (UK) Ltd)	Losartan potassium/Hydrochlorothiazide	50mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
66670	610811000001104	00717020	Metoprolol 100mg tablets (Alliance Healthcare (Distribution) Ltd)	Metoprolol tartrate	100mg	Tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
66779	16110011000001108	36922020	Nadolol 30mg/5ml oral suspension	Nadolol	6mg/1ml	Oral suspension	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
66997	29749811000001100	52342021	MicardisPlus 40mg/12.5mg tablets (Waymade Healthcare Plc)	Telmisartan/Hydrochlorothiazide	40mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
67124	28365411000001108	44188021	Bisoprolol 10mg / Aspirin 75mg capsules	Bisoprolol fumarate/Aspirin	10mg + 75mg	Capsule	Oral	02040000/02090000	Beta-adrenoceptor Blocking Drugs/Antiplatelet Drugs	B-blocker
67292	14493011000001108	01157020	Celectol 200mg tablets (Sigma Pharmaceuticals Plc)	Celiprolol hydrochloride	200mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
67424	15227211000001106	36157020	Nadolol 80mg/5ml oral suspension	Nadolol	16mg/1ml	Oral suspension	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
67595	24483711000001108	25449021	Nebivolol 5mg tablets (Almus Pharmaceuticals Ltd)	Nebivolol hydrochloride	5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
67661	15072711000001108	01216020	Carvedilol 6.25mg tablets (Sigma Pharmaceuticals Plc)	Carvedilol	6.25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
67664	19631911000001100	10168020	Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd)	Valsartan/Hydrochlorothiazide	160mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
67737	11009711000001106	71762020	Bendroflumethiazide 2.5mg tablets (Dr Reddy's Laboratories (UK) Ltd)	Bendroflumethiazide	2.5mg	Tablet	Oral	02020100/09050102	Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria	Diuretic
67738	11010111000001102	71766020	Bendroflumethiazide 5mg tablets (Dr Reddy's Laboratories (UK) Ltd)	Bendroflumethiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
67767	13845511000001102	75921020	Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets (Almus Pharmaceuticals Ltd)	Lisinopril/Hydrochlorothiazide	10mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
67780	22617011000001104	16655021	Bendroflumethiazide 5mg tablets (DE Pharmaceuticals)	Bendroflumethiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
67801	16160111000001108	10850020	Dyazide 50mg/25mg tablets (Lexon (UK) Ltd)	Hydrochlorothiazide/Triamterene	25mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
67910	12087711000001104	30818020	Furosemide 40mg/5ml oral solution	Furosemide	8mg/1ml	Oral solution	Oral	02020200	Loop Diuretics	Diuretic
67913	606411000001101	00758020	Spironolactone 50mg tablets (Kent Pharmaceuticals Ltd)	Spironolactone	50mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
68020	14208611000001108	01075020	Beta-Adalat modified-release capsules (Sigma Pharmaceuticals Plc)	Atenolol/Nifedipine	50mg + 20mg	Modified-release capsule	Oral	02040000/02060200	Beta-adrenoceptor Blocking Drugs/Calcium-channel Blockers	B-blocker
68022	17198511000001100	66550020	Doxazosin 4mg tablets (Sovereign Medical Ltd)	Doxazosin mesilate	4mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
68068	8519911000001102	19963020	Furosemide 4mg/5ml oral solution	Furosemide	800microgram/1ml	Oral solution	Oral	02020200	Loop Diuretics	Diuretic
68161	30123811000001108	53280021	Doxazosin 4mg tablets (Mawdsley-Brooks & Company Ltd)	Doxazosin mesilate	4mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
68400	30081311000001100	53253021	Propranolol 160mg tablets (DE Pharmaceuticals)	Propranolol hydrochloride	160mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
68432	13006011000001106	33488020	Metolazone 2.5mg/5ml oral suspension	Metolazone	500microgram/1ml	Oral suspension	Oral	02020100	Thiazides And Related Diuretics	Diuretic
68677	14404711000001108	77740020	Nebivolol 5mg tablets (Accord Healthcare Ltd)	Nebivolol hydrochloride	5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
68881	16632411000001108	98589020	Metoprolol 12.5mg capsules	Metoprolol tartrate	12.5mg	Capsule	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
69009	21574611000001108	45448020	Zaroxolyn 5mg tablets (Imported (Canada))	Metolazone	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
69115	14033711000001108	75760020	Nebivolol 5mg tablets (A A H Pharmaceuticals Ltd)	Nebivolol hydrochloride	5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
69156	22495711000001104	15613021	Bisoprolol 3.75mg tablets (Medreich Plc)	Bisoprolol fumarate	3.75mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
69319	23970611000001104	21703021	Doxazosin 2mg tablets (DE Pharmaceuticals)	Doxazosin mesilate	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
69334	148815001000027104	67628020	Bendroflumethiazide 5mg with Nadolol 80mg tablets	Nadolol/Bendroflumethiazide				02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
69338	60225001000027104	55561020	Furosemide 40mg/5ml sugar free Oral solution (Rosemont Pharmaceuticals Ltd)	Furosemide	8mg/1ml	Oral solution	Gastroenteral/Oral	02020200	Loop Diuretics	Diuretic
69445	18706911000001104	00714020	Furosemide 40mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc)	Furosemide	8mg/1ml	Oral solution	Gastroenteral/Oral	02020200	Loop Diuretics	Diuretic
69473	13354211000001100	34654020	Spironolactone 3.5mg/5ml oral suspension	Spironolactone	700microgram/1ml	Oral suspension	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
69526	12079211000001106	30663020	Atenolol 50mg/5ml oral solution	Atenolol	10mg/1ml	Oral solution	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
69661	13172311000001106	34181020	Propranolol 3mg/5ml oral solution	Propranolol hydrochloride	600microgram/1ml	Oral solution	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
69757	12084811000001102	30760020	Doxazosin 8mg/5ml oral suspension	Doxazosin mesilate	1.6mg/1ml	Oral suspension	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
70116	8668911000001103	20537020	Metoprolol 50mg/5ml oral solution	Metoprolol tartrate	10mg/1ml	Oral solution	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
70135	22612411000001104	16662021	Atenolol 25mg tablets (DE Pharmaceuticals)	Atenolol	25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
70161	8727111000001102	20831020	Sotalol 40mg/5ml oral solution	Sotalol hydrochloride	8mg/1ml	Oral solution	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
70162	8727211000001108	20833020	Sotalol 40mg/5ml oral suspension	Sotalol hydrochloride	8mg/1ml	Oral suspension	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
70509	13579511000001104	00684020	Indapamide 2.5mg tablets (DE Pharmaceuticals)	Indapamide hemihydrate	2.5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
70680	13200011000001100	34208020	Propranolol 6mg/5ml oral suspension	Propranolol hydrochloride	1.2mg/1ml	Oral suspension	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
70681	13171211000001104	34163020	Propranolol 3mg/5ml oral suspension	Propranolol hydrochloride	600microgram/1ml	Oral suspension	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
70734	11427411000001104	75634020	Sotalol 40mg tablets (Almus Pharmaceuticals Ltd)	Sotalol hydrochloride	40mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
70754	18552511000001108	01683020	Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Ranbaxy (UK) Ltd)	Losartan potassium/Hydrochlorothiazide	50mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
70922	18618811000001108	34060020	Losartan 100mg / Hydrochlorothiazide 12.5mg tablets (Phoenix Healthcare Distribution Ltd)	Hydrochlorothiazide/Losartan potassium	12.5mg + 100mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
70989	20323211000001104	40498020	Bendroflumethiazide 2.5mg tablets (Genesis Pharmaceuticals Ltd)	Bendroflumethiazide	2.5mg	Tablet	Oral	02020100/09050102	Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria	Diuretic
71010	20326811000001104	40499020	Spironolactone 25mg tablets (Genesis Pharmaceuticals Ltd)	Spironolactone	25mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
71026	11399511000001104	70257020	Atenolol 100mg tablets (Almus Pharmaceuticals Ltd)	Atenolol	100mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
71032	20312411000001104	40509020	Nebivolol 5mg tablets (Sandoz Ltd)	Nebivolol hydrochloride	5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
71098	21286311000001104	45140020	Metoprolol 50mg tablets (Accord Healthcare Ltd)	Metoprolol tartrate	50mg	Tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
71115	10483611000001104	01500020	Zestoretic 10 tablets (Waymade Healthcare Plc)	Lisinopril/Hydrochlorothiazide	10mg + 12.5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	Diuretic
71150	13199711000001104	34202020	Propranolol 5mg/5ml oral solution	Propranolol hydrochloride	1mg/1ml	Oral solution	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
71173	30860011000001104	57246021	Propranolol 80mg modified-release capsules (Mawdsley-Brooks & Company Ltd)	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
71348	5372111000001107	00800020	Frumil 40mg/5mg tablets (Waymade Healthcare Plc)	Amiloride hydrochloride/Furosemide	5mg + 40mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
71377	10855211000001104	00794020	Frumil LS 20mg/2.5mg tablets (Waymade Healthcare Plc)	Amiloride hydrochloride/Furosemide	2.5mg + 20mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
71398	13325211000001104	34597020	Spironolactone 12.5mg/5ml oral solution	Spironolactone	2.5mg/1ml	Oral solution	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
71405	13846611000001108	00009020	Cardura XL 4mg tablets (DE Pharmaceuticals)	Doxazosin mesilate	4mg	Modified-release tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
71406	12035811000001106	30625020	Furosemide 1mg/5ml oral solution	Furosemide	200microgram/1ml	Oral solution	Oral	02020200	Loop Diuretics	Diuretic
71419	5373211000001107	01332020	Hytrin 2mg tablets (Waymade Healthcare Plc)	Terazosin hydrochloride	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
71472	21801411000001100	47113020	Bisoprolol 5mg tablets (Waymade Healthcare Plc)	Bisoprolol fumarate	5mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
71479	16067611000001104	01038020	Sotalol 40mg tablets (Bristol Laboratories Ltd)	Sotalol hydrochloride	40mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
71618	18276311000001108	34058020	Losartan 100mg / Hydrochlorothiazide 12.5mg tablets (A A H Pharmaceuticals Ltd)	Hydrochlorothiazide/Losartan potassium	12.5mg + 100mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
71682	30826311000001104	57438021	Losartan 100mg / Hydrochlorothiazide 25mg tablets (Mawdsley-Brooks & Company Ltd)	Losartan potassium/Hydrochlorothiazide	100mg + 25mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
71748	24413611000001104	24019021	Actelsar HCT 80mg/25mg tablets (Actavis UK Ltd)	Hydrochlorothiazide/Telmisartan	25mg + 80mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
71871	8359211000001102	19372020	Chlorothiazide 60mg/5ml oral suspension	Chlorothiazide	12mg/1ml	Oral suspension	Oral	02020100	Thiazides And Related Diuretics	Diuretic
71950	22018711000001104	47074020	Furosemide 20mg tablets (Waymade Healthcare Plc)	Furosemide	20mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
72042	288611000001101	00660020	Bendroflumethiazide 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)	Bendroflumethiazide	2.5mg	Tablet	Oral	02020100/09050102	Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria	Diuretic
72043	21778811000001100	47102020	Atenolol 50mg tablets (Waymade Healthcare Plc)	Atenolol	50mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
72083	21782811000001108	47072020	Bendroflumethiazide 5mg tablets (Waymade Healthcare Plc)	Bendroflumethiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
72086	19688511000001104	10169020	Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets (Actavis UK Ltd)	Valsartan/Hydrochlorothiazide	160mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
72159	16131011000001108	36975020	Nadolol 20mg/5ml oral suspension	Nadolol	4mg/1ml	Oral suspension	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
72220	24412311000001104	23656021	Propranolol 10mg/5ml oral solution sugar free (CST Pharma Ltd)	Propranolol hydrochloride	2mg/1ml	Oral solution	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
72222	30080311000001104	53255021	Propranolol 80mg modified-release capsules (DE Pharmaceuticals)	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
72285	30001311000001100	53266021	Bisoprolol 1.25mg tablets (Mawdsley-Brooks & Company Ltd)	Bisoprolol fumarate	1.25mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
72346	12083511000001104	30734020	Doxazosin 2mg/5ml oral solution	Doxazosin mesilate	400microgram/1ml	Oral solution	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
72347	8727511000001106	20839020	Sotalol 80mg/5ml oral suspension	Sotalol hydrochloride	16mg/1ml	Oral suspension	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
72348	24509711000001104	26623021	Doxazosin 1mg/5ml oral solution	Doxazosin mesilate	200microgram/1ml	Oral solution	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
72507	7334311000001103	67730020	Carvedilol 25mg tablets (Teva UK Ltd)	Carvedilol	25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
72540	12287411000001104	31456020	Bisoprolol 10mg/5ml oral suspension	Bisoprolol fumarate	2mg/1ml	Oral suspension	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
72545	9703411000001108	71699020	Acebutolol 200mg capsules (A A H Pharmaceuticals Ltd)	Acebutolol hydrochloride	200mg	Capsule	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
72644	3153511000001106	65779020	Terazosin 5mg tablets (A A H Pharmaceuticals Ltd)	Terazosin hydrochloride	5mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
72810	12014311000001108	30303020	Atenolol 10mg/5ml oral solution	Atenolol	2mg/1ml	Oral solution	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
72914	6685001000027101	48842020	Bendroflumethiazide 2.5mg Tablet (Celltech Pharma Europe Ltd)	Bendroflumethiazide	2.5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
73116	17198311000001108	66547020	Doxazosin 2mg tablets (Sovereign Medical Ltd)	Doxazosin mesilate	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
73151	28945211000001108	47987021	Atenolol 50mg tablets (Crescent Pharma Ltd)	Atenolol	50mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
73171	246455001000027104	92793020	Furosemide Oral solution	Furosemide		Oral Solution		02020200	Loop Diuretics	Diuretic
73208	13385411000001108	34858020	Spironolactone 7mg/5ml oral suspension	Spironolactone	1.4mg/1ml	Oral suspension	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
73219	12300811000001108	31706020	Nadolol 40mg/5ml oral suspension	Nadolol	8mg/1ml	Oral suspension	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
73337	366811000001105	55012020	Co-amilozide 5mg/50mg tablets (Wockhardt UK Ltd)	Amiloride hydrochloride/Hydrochlorothiazide	5mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
73413	3707011000001107	60483020	Pindolol 5mg tablets (A A H Pharmaceuticals Ltd)	Pindolol	5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
73441	12502211000001104	32012020	Chlorothiazide 200mg/5ml oral solution	Chlorothiazide	40mg/1ml	Oral solution	Oral	02020100	Thiazides And Related Diuretics	Diuretic
73451	11401811000001104	75252020	Carvedilol 6.25mg tablets (Almus Pharmaceuticals Ltd)	Carvedilol	6.25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
73480	60215001000027104	55560020	Furosemide 20mg/5ml sugar free Oral solution (Rosemont Pharmaceuticals Ltd)	Furosemide	4mg/1ml	Oral solution	Oral	02020200	Loop Diuretics	Diuretic
73481	3658411000001102	59227020	Sotalol 160mg tablets (Teva UK Ltd)	Sotalol hydrochloride	160mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
73637	4469911000001108	66165020	Doxazosin 1mg tablets (Sterwin Medicines)	Doxazosin mesilate	1mg	Tablet	Oral	02050400/07040000	Alpha-Adrenoceptor Blocking Drugs/Drugs For Genito-Urinary Disorders	Alpha blocker
73638	18497711000001100	78472020	Bisoprolol 5mg tablets (Almus Pharmaceuticals Ltd)	Bisoprolol fumarate	5mg	Tablet	Oral	00000000	Unknown	B-blocker
73641	18497911000001104	78481020	Bisoprolol 10mg tablets (Almus Pharmaceuticals Ltd)	Bisoprolol fumarate	10mg	Tablet	Oral	00000000	Unknown	B-blocker
73644	11010911000001104	69871020	Spironolactone 25mg tablets (Dr Reddy's Laboratories (UK) Ltd)	Spironolactone	25mg	Tablet	Oral	02020300	Potassium-Sparing Diuretics And Aldosterone Antagonists	Spironolactone
73653	9154111000001102	70596020	Propranolol 80mg tablets (Ranbaxy (UK) Ltd)	Propranolol hydrochloride	80mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-Adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
